phc_id,state,district,subdistrict,name,latitude,longitude,is_active,beds,doctors,nurses
PHCR014464,Madhya Pradesh,Dewas,Bagli,CH Hatpiplya,22.7708368,76.30706471,False,,,
PHCR014465,Madhya Pradesh,Dewas,Kannod,Kusmaniya,22.775268,76.759732,False,,,
PHCR014466,Madhya Pradesh,Anuppur,Pushprajgarh,Koilari,22.7806,81.4538,False,,,
PHCR014467,Madhya Pradesh,Jhabua,Rama,UMARKOT,22.7854923,74.84591236,False,,,
PHCR014468,Madhya Pradesh,Indore,Indore,CD ARANYA,22.79663,75.74073333,False,,,
PHCR014469,Madhya Pradesh,Dewas,Kannod,Bawdikheda,22.79674,76.619521,False,,,
PHCR014470,Madhya Pradesh,Mandla,Ghughari,surehli,22.79848167,80.81994167,False,,,
PHCR014471,Madhya Pradesh,Indore,Indore,HATOD,22.7991065,75.7460974,False,,,
PHCR014472,Madhya Pradesh,Jhabua,Petlawad,JHAKNAWDA,22.81489,74.914995,False,,,
PHCR014473,Madhya Pradesh,Dindori,Bajag,SARWAHI,22.818604,81.496544,False,,,
PHCR014474,Madhya Pradesh,Dindori,Bajag,GADASARAI,22.822779,81.327564,False,,,
PHCR014475,Madhya Pradesh,Narsinghpur,BABAI (CHICHLI),CHICHLI,22.826535,78.821535,False,,,
PHCR014476,Madhya Pradesh,Indore,Sawer,PALIYA,22.82873403,75.7911743,False,,,
PHCR014477,Madhya Pradesh,Dhar,Badnawar,Bidwal,22.841075,75.19125,False,,,
PHCR014478,Madhya Pradesh,Mandla,Mohgaon,Chubhaval,22.84111681,80.55016924,False,,,
PHCR014479,Madhya Pradesh,Narsinghpur,BABAI (CHICHLI),SHAHPUR,22.84394167,78.98179333,False,,,
PHCR014480,Madhya Pradesh,Dhar,Sardarpur,Barmondal,22.84431,75.08169,False,,,
PHCR014481,Madhya Pradesh,Sehore,Budni,PHC Shahganj,22.84924472,77.79706649,False,,,
PHCR014482,Madhya Pradesh,Dewas,Barotha (Dewas),CHC Barotha,22.85177156,76.18221873,False,,,
PHCR014483,Madhya Pradesh,Indore,Sawer,DAKACHYA,22.85790072,75.96149831,False,,,
PHCR014484,Madhya Pradesh,Indore,Sawer,KSHIPRA,22.85794,75.97788,False,,,
PHCR014485,Madhya Pradesh,Narsinghpur,KARELI,AMGAON BADA,22.86168667,79.06792833,False,,,
PHCR014486,Madhya Pradesh,Anuppur,Pushprajgarh,Ghata,22.8621,81.4252,False,,,
PHCR014487,Madhya Pradesh,Dewas,Bagli,Amlataj,22.86281356,76.42077173,False,,,
PHCR014488,Madhya Pradesh,Dhar,Badnawar,KANWAN,22.87029333,75.25502333,False,,,
PHCR014489,Madhya Pradesh,Raisen,Baraily,Doomer,22.88010333,78.2650563,False,,,
PHCR014490,Madhya Pradesh,Mandla,Bijadandi,Jamthar,22.88287783,80.01695608,False,,,
PHCR014491,Madhya Pradesh,Indore,Depalpur,PALASIYAPAR,22.88529167,75.44561833,False,,,
PHCR014492,Madhya Pradesh,Narsinghpur,NARSINGHPUR (DHAMNA),SINGHPUR BADA,22.88795168,79.18994744,False,,,
PHCR014493,Madhya Pradesh,Mandla,Narayanganj,Babaliya,22.889885,80.41424167,False,,,
